capability matrix (x = present, - = MISS):
theme     |title_uname |uname       |status      |unlimited   |used        |limit       |pct         |reset       |expire      |days        |onhold      |announce    |announce_url|links       |link_val    |copy        |qr          |copyall     |gate        |apps        |import      |pct_ung|literal|static_act
abyss     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
amber     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
aria      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
azure     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
coal      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
cobalt    |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
comet     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
command   |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
copper    |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
dusk      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
ember     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
emerald   |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
gold      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
graphite  |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
indigo    |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
lagoon    |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
lime      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
linen     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
marine    |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
mint      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
nova      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
ocean     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
olive     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
onyx      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
prisma    |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
pulse     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
slate     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
stark     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
steel     |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
teal      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
tide      |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
volt      |x           |x           |x           |x           |x           |x           |-           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A
zenith    |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |x           |ok     |-           |A

MISSING-COUNT SUMMARY:
  pct                  missing in 1/33
